Author_id,Count,Non_Lxi/Lxi,CountN,CountNC,CountLXI,CountBLANK,Behavior(N/NC),Behavior(Lxi/Blank)
211483,52,"['blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'LxI', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'LxI', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank']",0,0,2,50,[],['Both']
226844,4,"['blank', 'LxI', 'LxI', 'LxI']",0,0,3,1,[],['Both']
226103,8,"['LxI', 'LxI', 'LxI', 'LxI', 'LxI', 'LxI', 'LxI', 'LxI']",0,0,8,0,[],['Thread Starter']
220127,2,"['LxI', 'blank']",0,0,1,1,[],['Both']
225508,1,['blank'],0,0,0,1,[],['Blank']
214241,32,"['LxI', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'NC', 'NC', 'NC', 'LxI']",0,3,2,27,['Comment'],['Both']
219898,2,"['blank', 'blank']",0,0,0,2,[],['Blank']
223915,10,"['blank', 'blank', 'LxI', 'blank', 'blank', 'LxI', 'blank', 'blank', 'blank', 'blank']",0,0,2,8,[],['Both']
212472,10,"['LxI', 'blank', 'blank', 'blank', 'blank', 'blank', 'LxI', 'blank', 'blank', 'blank']",0,0,2,8,[],['Both']
225728,10,"['LxI', 'LxI', 'LxI', 'N', 'blank', 'blank', 'blank', 'LxI', 'LxI', 'LxI']",1,0,6,3,['Thread Comment'],['Both']
217174,4,"['LxI', 'N', 'blank', 'NC']",1,1,1,1,['Both'],['Both']
220247,1,['blank'],0,0,0,1,[],['Blank']
224499,3,"['LxI', 'blank', 'blank']",0,0,1,2,[],['Both']
214940,1,['LxI'],0,0,1,0,[],['Thread Starter']
222949,31,"['blank', 'LxI', 'blank', 'LxI', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'LxI', 'blank', 'NC', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'LxI', 'blank', 'blank']",0,1,4,26,['Comment'],['Both']
216174,35,"['LxI', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'LxI', 'LxI', 'LxI', 'LxI', 'LxI', 'blank', 'blank', 'blank', 'NC', 'NC', 'NC', 'NC', 'NC', 'NC', 'NC', 'blank', 'NC', 'blank', 'blank']",0,8,6,21,['Comment'],['Both']
222434,1,['blank'],0,0,0,1,[],['Blank']
222037,25,"['N', 'LxI', 'blank', 'LxI', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'NC']",1,1,2,21,['Both'],['Both']
223072,1,['blank'],0,0,0,1,[],['Blank']
224767,9,"['LxI', 'LxI', 'LxI', 'LxI', 'blank', 'blank', 'blank', 'blank', 'blank']",0,0,4,5,[],['Both']
224079,8,"['LxI', 'LxI', 'LxI', 'blank', 'blank', 'blank', 'blank', 'blank']",0,0,3,5,[],['Both']
224572,15,"['N', 'LxI', 'blank', 'LxI', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank']",1,0,2,12,['Thread Comment'],['Both']
218219,3,"['LxI', 'LxI', 'LxI']",0,0,3,0,[],['Thread Starter']
224524,5,"['LxI', 'blank', 'LxI', 'blank', 'blank']",0,0,2,3,[],['Both']
217987,11,"['blank', 'N', 'LxI', 'N', 'LxI', 'blank', 'blank', 'blank', 'LxI', 'LxI', 'LxI']",2,0,5,4,['Thread Comment'],['Both']
222372,2,"['N', 'blank']",1,0,0,1,['Thread Comment'],['Blank']
212527,33,"['blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'LxI', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'NC', 'blank', 'blank', 'blank', 'blank', 'NC', 'blank', 'blank', 'blank', 'LxI', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank']",0,2,2,29,['Comment'],['Both']
217575,4,"['LxI', 'LxI', 'LxI', 'blank']",0,0,3,1,[],['Both']
217816,1,['LxI'],0,0,1,0,[],['Thread Starter']
213884,2,"['N', 'LxI']",1,0,1,0,['Thread Comment'],['Thread Starter']
222538,2,"['LxI', 'LxI']",0,0,2,0,[],['Thread Starter']
222701,1,['blank'],0,0,0,1,[],['Blank']
220714,1,['LxI'],0,0,1,0,[],['Thread Starter']
222720,2,"['blank', 'LxI']",0,0,1,1,[],['Both']
219973,26,"['LxI', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'LxI', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'LxI', 'LxI', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank']",0,0,4,22,[],['Both']
220152,17,"['LxI', 'LxI', 'N', 'LxI', 'N', 'blank', 'blank', 'blank', 'blank', 'blank', 'LxI', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank']",2,0,4,11,['Thread Comment'],['Both']
220805,12,"['LxI', 'NC', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'LxI']",0,1,2,9,['Comment'],['Both']
219517,8,"['blank', 'blank', 'LxI', 'LxI', 'blank', 'blank', 'blank', 'blank']",0,0,2,6,[],['Both']
